species,latitude,longitude,parentarea_name,periodstart_date,periodend_date,reason_name,productionareastatusname,productionstatusestatusname
Mytilus edulis,53.57167,-9.99722,Ballinakill,01/01/2023,08/01/2023,Toxicity - AZP,Closed,54998
Mytilus edulis,54.62194,-8.19917,Donegal Harbour,08/01/2023,15/01/2023,Toxicity - AZP,Closed,55122
Mytilus edulis,53.57167,-9.99722,Ballinakill,15/01/2023,05/02/2023,Toxicity - AZP,Closed,55152
Crassostrea gigas,52.1375,-9.91944,Castlemaine Harbour,11/06/2023,18/06/2023,Toxicity PSP,Closed Pending,56263
Mytilus edulis,51.8225,-9.82222,Tahilla,09/07/2023,16/07/2023,Toxicity - DSP,Closed,56437
Mytilus edulis,52.1375,-9.91944,Castlemaine Harbour,27/08/2023,03/09/2023,Toxicity - PSP,Closed,56792
Mytilus edulis,51.77194,-9.81194,Kilmakilloge,10/09/2023,17/09/2023,Toxicity - AZP,Closed,56887
